Face,Track Number,Track_Name,Track_Composer,Track_Length,LP_ID,Track Length,Track Filename
A,1,TUPI GUARANI,(Kyre'y),1:47,LP2711,1'56,LP2711_1z1_A01.mp3
A,2,MI PERDON,,2:26,LP2711,2'29,LP2711_1z1_A02.mp3
A,3,EL GAUCHO RAMON,,2:12,LP2711,2'16,LP2711_1z1_A03.mp3
A,4,R. C. 9 CAPITAN BADO,,2:24,LP2711,2'27,LP2711_1z1_A04.mp3
A,5,MARIPOSA MI,(Che valle mi momoravo),2:37,LP2711,2'45,LP2711_1z1_A05.mp3
A,6,INDIA,,6:37,LP2711,6'38,LP2711_1z1_A06.mp3
B,1,AMOR PROFUNDO,(Mboracjhú asy),2:59,LP2711,3'42,LP2711_1z1_B01.mp3
B,2,GLORIA BEATRIZ,,3:17,LP2711,2'20,LP2711_1z1_B02.mp3
B,3,ÑA POCHÓ,,2:40,LP2711,2'45,LP2711_1z1_B03.mp3
B,4,EL PERFUME DE TU FLOR,(Nde poty ryacuangue mi),3:35,LP2711,2'48,LP2711_1z1_B04.mp3
B,5,CHE JAZMIN,,3:06,LP2711,3'08,LP2711_1z1_B05.mp3
B,6,SAN BERNARDINO,,2:35,LP2711,2'37,LP2711_1z1_B06.mp3
B,7,NO ESTOY ENOJADO CONTIGO,(Nda che pochi i nendivé),2:44,LP2711,3'01,LP2711_1z1_B07.mp3
A,1,LOS HERMANOS,Atahualpa Yupanqui,,LP2704,3'18,LP2704_1z1_A01.mp3
A,2,DE LA BAILANTA,Washington Benavidez - Carlos Benavidez,,LP2704,2'59,LP2704_1z1_A02.mp3
A,3,POBRE MARTIN,Georges Brassens,,LP2704,2'52,LP2704_1z1_A03.mp3
A,4,CANCION DE NUESTRO TIEMPO,Ignacio Suárez - Yamandú Palacios,,LP2704,4'16,LP2704_1z1_A04.mp3
A,5,EL GAVILAN,anonyme Vénézuélien,,LP2704,3'15,LP2704_1z1_A05.mp3
B,1,DECIMAS POLITICAS,Yamandú Palacios,,LP2704,5'04,LP2704_1z1_B01.mp3
B,2,CANCION PARA UN HOMBRE-NIÑO,Yamandú Palacios - Ignacio Suárez,,LP2704,2'55,LP2704_1z1_B02.mp3
B,3,CANTO A UN COMPAÑEROCAIDO,Saúl Ibargoyen - Yamandú Palacios,,LP2704,3'28,LP2704_1z1_B03.mp3
B,4,COPLAS AL COMPADRE JUAN MIGUEL,Yamandú Palacios - Oscar del Monte,,LP2704,3'06,LP2704_1z1_B04.mp3
B,5,VEA PATRON,Aníbal Sampayo,,LP2704,2'47,LP2704_1z1_B05.mp3
A,1,SERENATA COCGUA,Diosnel Chase,,LP2719,2'53,LP2719_1z1_A01.mp3
A,2,SELECCION DE POLCAS,Félix Pérez Cardozo,,LP2719,3'09,LP2719_1z1_A02.mp3
A,3,ELVIRA,Germán González,,LP2719,2'30,LP2719_1z1_A03.mp3
A,4,MBORACJHU,Nonato Verón,,LP2719,2'29,LP2719_1z1_A04.mp3
